pair,name,base
MASK/USD,Mask Network,MASK
MASK/GBP,Mask Network,MASK
MATH/USD,MATH,MATH
MATIC/GBP,Polygon,MATIC
MATIC/EUR,Polygon,MATIC
MATIC/BTC,Polygon,MATIC
MATIC/USD,Polygon,MATIC
MATIC/USDT,Polygon,MATIC
MDT/USD,Measurable Data Token,MDT
MEDIA/USD,Media Network,MEDIA
METIS/USD,Metis,METIS
MINA/USDT,Mina,MINA
MINA/EUR,Mina,MINA
MINA/USD,Mina,MINA
MKR/BTC,Maker,MKR
MKR/USD,Maker,MKR
MLN/USD,Enzyme,MLN
MNDE/USD,Marinade,MNDE
MOBILE/USD,Helium Mobile,MOBILE
MPL/USD,Maple,MPL
MSOL/USD,Marinade Staked SOL,MSOL
MTL/USD,Metal DAO,MTL
MUSE/USD,Muse,MUSE
NCT/USD,PolySwarm,NCT
NEAR/USDT,NEAR Protocol,NEAR
NEAR/USD,NEAR Protocol,NEAR
NKN/USD,NKN,NKN
NMR/USD,Numeraire,NMR
OCEAN/USD,Ocean Protocol,OCEAN
OGN/USD,Origin Protocol,OGN
ONDO/USD,Ondo,ONDO
OP/USDT,Optimism,OP
OP/USD,Optimism,OP
ORCA/USD,Orca,ORCA
ORN/USD,Orion,ORN
OSMO/USD,Osmosis,OSMO
OXT/USD,Orchid,OXT
PAX/USD,Pax Dollar,PAX
PERP/USD,Perpetual Protocol,PERP
PLU/USD,Pluton,PLU
PNG/USD,Pangolin,PNG
POLS/USD,Polkastarter,POLS
POND/USD,Marlin,POND
POWR/USD,Powerledger,POWR
PRIME/USD,Echelon Prime,PRIME
PRO/USD,Propy,PRO
PRQ/USD,PARSIQ,PRQ
PUNDIX/USD,Pundi X (New),PUNDIX
PYR/USD,Vulcan Forged (PYR),PYR
PYUSD/USD,PayPal USD,PYUSD
QI/USD,BENQI,QI
QNT/USD,Quant,QNT
QNT/USDT,Quant,QNT
RAD/USD,Radworks,RAD
RAI/USD,Rai Reflex Index,RAI
RARE/USD,SuperRare,RARE
RARI/USD,Rarible,RARI
RBN/USD,Ribbon Finance,RBN
REQ/USD,Request,REQ
RLC/USD,iExec RLC,RLC
RNDR/USDT,Render,RNDR
RNDR/EUR,Render,RNDR
RNDR/USD,Render,RNDR
ROSE/USD,Oasis Network,ROSE
ROSE/USDT,Oasis Network,ROSE
RPL/USD,Rocket Pool,RPL
SAND/USDT,The Sandbox,SAND
SAND/USD,The Sandbox,SAND
SEAM/USD,Seamless,SEAM
SEI/USD,Sei,SEI
SHIB/EUR,Shiba Inu,SHIB
SHIB/USDT,Shiba Inu,SHIB
SHIB/GBP,Shiba Inu,SHIB
SHIB/USD,Shiba Inu,SHIB
SHPING/USD,SHPING,SHPING
SKL/USD,SKALE,SKL
SNX/EUR,Synthetix,SNX
SNX/BTC,Synthetix,SNX
SNX/USD,Synthetix,SNX
SNX/GBP,Synthetix,SNX
SOL/USD,Solana,SOL
SOL/ETH,Solana,SOL
SOL/GBP,Solana,SOL
SOL/USDT,Solana,SOL
SOL/BTC,Solana,SOL
SOL/EUR,Solana,SOL
SPA/USD,Sperax,SPA
SPELL/USD,Spell Token,SPELL
STORJ/USD,Storj,STORJ
STRK/USD,Starknet,STRK
STX/USD,Stacks,STX
STX/USDT,Stacks,STX
SUI/USD,Sui,SUI
SUKU/USD,Suku,SUKU
SUPER/USD,SuperVerse,SUPER
SUSHI/USD,SushiSwap,SUSHI
SWFTC/USD,SwftCoin,SWFTC
SYN/USD,Synapse,SYN
T/USD,Threshold,T
TIA/USD,Celestia,TIA
TIME/USD,Chrono.tech,TIME
TRAC/USD,OriginTrail,TRAC
TRB/USD,Tellor,TRB
TRU/USD,TrueFi,TRU
TVK/USD,Vanar Chain,TVK
UMA/USD,UMA,UMA
UNFI/USD,Unifi Protocol DAO,UNFI
UNI/USD,Uniswap,UNI
UNI/EUR,Uniswap,UNI
UNI/BTC,Uniswap,UNI
UNI/GBP,Uniswap,UNI
USDC/EUR,USDC,USDC
USDC/GBP,USDC,USDC
USDT/GBP,Tether USDt,USDT
USDT/USDC,Tether USDt,USDT
USDT/EUR,Tether USDt,USDT
USDT/USD,Tether USDt,USDT
VARA/USD,Vara Network,VARA
VELO/USD,Velodrome Finance,VELO
VET/USD,VeChain,VET
VOXEL/USD,Voxies,VOXEL
VTHO/USD,VeThor Token,VTHO
WAMPL/USD,Wrapped Ampleforth,WAMPL
WBTC/USD,Wrapped Bitcoin,WBTC
WBTC/BTC,Wrapped Bitcoin,WBTC
WCFG/USD,Wrapped Centrifuge,WCFG
XCN/USD,Onyxcoin,XCN
XLM/USDT,Stellar,XLM
XLM/EUR,Stellar,XLM
XLM/USD,Stellar,XLM
XLM/BTC,Stellar,XLM
XRP/USDT,XRP,XRP
XRP/EUR,XRP,XRP
XRP/USD,XRP,XRP
XTZ/BTC,Tezos,XTZ
XTZ/USD,Tezos,XTZ
XTZ/GBP,Tezos,XTZ
XTZ/EUR,Tezos,XTZ
XYO/USD,XYO,XYO
YFI/USD,yearn.finance,YFI
YFI/BTC,yearn.finance,YFI
ZEC/BTC,Zcash,ZEC
ZEC/USD,Zcash,ZEC
ZEN/USD,Horizen,ZEN
ZETA/USD,ZetaChain,ZETA
ZRX/USD,0x Protocol,ZRX
