pair,name,base
ETH/DAI,Ethereum,ETH
ETH/TUSD,Ethereum,ETH
ETH/USDC,Ethereum,ETH
ETH/BTC,Ethereum,ETH
ETHS/USDT,Ethscriptions,ETHS
ETHW/USDT,EthereumPoW,ETHW
EURC/USDT,EURC,EURC
EVA/USDT,Evadore,EVA
EWT/USDT,Energy Web Token,EWT
FAKT/USDT,Medifakt,FAKT
FEAR/USDT,FEAR,FEAR
FEG/USDT,FEG Token [NEW],FEG
ferc/USDT,FairERC20,FERC
FET/USDT,Fetch.ai,FET
FIL/USDT,Filecoin,FIL
FITFI/USDT,Step App,FITFI
FLIP/USDT,Chainflip,FLIP
FLOKI/USDT,FLOKI,FLOKI
FLOW/USDT,Flow,FLOW
FLR/USDT,Flare,FLR
FLUX/USDT,Flux,FLUX
FLUXB/USDT,Fluxbot,FLUXB
FLZ/USDT,Fellaz,FLZ
FNSA/USDT,FINSCHIA,FNSA
FORT/USDT,Forta,FORT
FRA/USDT,Fractal Network,FRA
FREE/USDT,FREEdom Coin,FREE
FRONT/USDT,Frontier,FRONT
FTM/USDT,Fantom,FTM
FTN/USDT,Fasttoken,FTN
FTRB/USDT,Faith Tribe,FTRB
FUN/USDT,FUNToken,FUN
FWC/USDT,Football World Community,FWC
FXS/USDC,Frax Share,FXS
FXY/USDT,Floxypay,FXY
FYN/USDT,Affyn,FYN
GAL/USDT,Galxe,GAL
GALEON/USDT,Galeon,GALEON
GAS/USDT,Gas,GAS
GBEX/USDT,Globiance Exchange Token,GBEX
GEAR/USDT,Gearbox Protocol,GEAR
GFAL/USDT,Games for a Living,GFAL
GFT/USDT,Gifto,GFT
GFY/USDT,go fu*k yourself.,GFY
GHUB/USDT,GemHUB,GHUB
GLM/USDC,Golem,GLM
GLMR/USDT,Moonbeam,GLMR
GM/USDT,GM Wagmi,GM
GMCOIN/USDT,GMCoin,GMCOIN
GMEX/USDT,Game Coin,GMEX
GMM/USDT,Gamium,GMM
GMMT/USDT,Giant Mammoth,GMMT
GMR/USDT,GAMER,GMR
